text,label_text
 i hope you knew its due tuesday,positive
 Part of an AR-15. Actually the only part of one that qualifies as a gun. You have to be 21 to buy them without parts on them.,neutral
_henrie http://twitpic.com/4jbsq - looks so good!!  i want one!!,positive
chillin` with Kealie.,neutral
Next to my birthday- Mother`s Day is my favorite day of the year.  The one day I don`t feel guilty for slacking just a little.   Aaaahh...,positive
 so I tried jumping without the trampoline and its like thud* thud*  shouldn`t have eaten that cookie.  http://myloc.me/1XIz,neutral
" Hmm... it`s a miracle you`re using twitter, and it`s fun... so... Tweet!",positive
 Ohh.. #twpp is falling silent..  I was waiting to track ur US version.. Next time maybe.. Btw sunny california sounds good,positive
out for supper tonight with kurumi in 10 minutes,neutral
 V?a cï¿½n m?c 800/day t?i qua,neutral
My stomach is killing me do I can`t sleep,negative
 Your second episode of Sonny WAC was on in New Zealand tonight. You were (and still are) AMAZING! ily  ****,positive
 Im salaried so I don`t make any more or less no matter how many hrs I work.  Comes with the territory I suppose.,neutral
back home with my puppyy,neutral
 We can compare horror stories mate LOL,neutral
loving Mondays for so many reasons!,positive
 tom do u have plans to germany?  answer this for ur germany fas,neutral
Morning. Forgot my daily booth yesterday.. shocking! I want to sit in the garden today and read but we have a huge bees nest,negative
I`m sure all you people with hangovers will be glad to know I`m hangover free   hope you`re not too fragile this morning!,neutral
"_01 here is winter, but not snow",neutral
"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",neutral
Arghhh So annoyed-yet again gone 2 starbucks & given skimmed milk instead of soy milk!! I can`t have milk so hav 2 throw away! Expensive,negative
I am so sad...,negative
" I added it, are you still awake?",neutral
 I`m dying to read it!  I hate England.,neutral
 haha drunk golf sounds *awesome*!! i predict a great score for today,positive
Had a fun late night talk with   Good night world.,positive
"standing here open hands and i know i can`t do this alone hold on, hold on, baby, hold on...geeez",neutral
_n_booklife I heard about that too... that seems an overreaction...,negative
 See you on may 16!!,neutral
when do the stars come out??,neutral
If you are new and in need of a few followers say 'TWEET ME' Person with lowest followers will get a shout out!  U have 30mins,neutral
"http://twitpic.com/4j9x4 - lmao, it`s true",positive
Bored and lonely at work,negative
 morning Alex hope you will be tweeting lots today as we do miss you when you aren`t on here  ****,negative
http://tinyurl.com/nqudrt - Hurt my finger at work,negative
  Sending you both TONS of thankful love for Sock Summit. I can`t believe the utter **** that some people spew.,neutral
heyy  watching the simpson  with shezza and paula,neutral
" Thanks!  Got tired of bleaching it. The, um, bangs there... yeah they are actually a bit purple >_> oopsie.",neutral
"OK, It`s my 1000th Tweet  I`ll use it to simply say 'Thank You!!'. I`ve met some of the most giving/caring people on Twitter!",positive
 You don`t want to leave because secretly you know Australia is twenty times better than America!,positive
_Phelps hello michael  have a nice day,positive
Iï¿½m really desappointed...,negative
 really .. least u wont hav 2 put up wiv him,neutral
gotta shower then go apply for more jobs  hopefully no creepy old men will be working again today *shudder*,neutral
 Nice action shot: http://bit.ly/m8zfx  I miss working a pole.   __ dont you see clients everyday?  lol,positive
"A Don`t Stop Believing remix? Sure, why not?  Sacrilege   ? http://blip.fm/~5jkpz",negative
 - all is fine  thanks! you guys dont have any quakes there?,positive
Happy Birthday to my ****,positive
 play vanessa hudgens new songs plz or vfactory,neutral
" We should have a twitter reunion it would be awesome to meet you all lol, iwonder howd iget that to pull off",positive
" thank you  saw your comment on the chew aerobics, really tickled me",neutral
http://twitpic.com/4jkes -   Here`s your follower count.,neutral
_M didnt get it clear,neutral
 who can do it like we? Noboddddyyyy,neutral
Goodnight and Goodbye ?,positive
 more seo voodoo  Google has your cache. NOARCHIVE only hides it from users.,neutral
Rachel and chelsey left me and jenny stole my bike.  that makes me muy triste!,negative
"My nose is chapped, yuck",negative
Oh no.... Trouble in paradice,negative
"Pool, alcohol, & a cute band, couldn`t ask for more on a Saturday night  #fb http://twitpic.com/4w1rr",positive
" Thts kinda young 4 me, boo.",neutral
 is that it`s welsh name?,neutral
"Downloadfestival`s lineup isn`t as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL",neutral
 Im not bannished... but I am at work till 6,negative
Sick daddy  send prayer his way,negative
 or maybe start your own Arabic teaching podcast?,neutral
 whuahahhaha you need to cut down on them Bram Ladages/Applejacks/pancakes,positive
 lol. i get about the same reaction when i mention my new goal - kona triathlon now that boston marathon is done.,positive
Ahhhhhhhhh man blew up my amp!!!!! no more shredding,negative
watching 48 hours,neutral
  Why?,neutral
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative
hey twitter! i`m back online!,neutral
" I have no doubt, darlin`!  Just wish you could find a boy worthy is all!  You`re good people!",positive
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral
just got back from greenlake.  it was such a nice day today!,positive
"bored , cleanin the house",negative
 Hi Sharon Missed you on our x factor last year!!  Come Back!! x,positive
"Nice place to eat in sao paulo, brazil  http://twitgoo.com/28hh",positive
Disappointment really sucks!  I`m getting used to it.,negative
sux gabe just told me to go to the afterparty and I have ID that works but I can`t go,neutral
" I`m sure it was amazing  Wish I could have been there :] You`re an incredible, phenomenal, amazingly talented singer",positive
sky diving was aaaaaawwwesome!!!! kinda bored now though,neutral
because he _real_nash wants to be an honorary Filipino  i`ll follow him now ;)) thanks !,positive
its raining,neutral
****. I have lost the game more times today than any other day in history.  #lostthegame (Blame  ),negative
" Lmao, when I was camping, the water in the shower was well water and just smelt nasty",negative
Good morning guys!  Dont forget: Today is mothers day! Mommy? I LOVE YOU ! Youï¿½re the best <3,positive
seen mi abueltia at the hospital... she`s doing good!,positive
 Thanks G! My actual birthday is on Tuesday and I will be 24.,positive
time to go to bed... and hopefully wake up to a better day  niiiiiiiights yall,positive
 ily babe. Sweet dreams.,positive
"Ive been up since 530,i hate wen i cant sleep. Garys takn a nap and i mite do the same",neutral
it`s nice to see my #euruko pictures (http://twurl.cc/xd1) on the big screen during a conference break,positive
 I go into the room for the first time in weeks and you`re off cleaning,neutral
"Chillin with my Family. We are getting tacos from Ochoa`s, they have the best food in all Washington county",positive
" thanks, I found it already",positive
Gdnight Tweeters (: Night  sleep tight and don`t steal my blankets  Otay! I love YOUS,positive
Just had an amazinq qirls-niqht-out. I quess its always qreat to have an excuse to wear tiny dresses & heels,positive
right. coursework now. PROMISE,neutral
taking sad to a whole new level,negative
Wait...  and ... Electrik Red or Richgirl?  I`m a sucker for the later,negative
 not for long goin for some sprints now,neutral
 It would still involve me standing up. lol. Windows are too high up. Guess im just gonna have to go out,neutral
Its a gorgeous day and I`m going to work allll day  Just gotta keep telling myself its for NYC!!,positive
" I think if I was Kirk, I would have probably stolen that sweet ride from you too.  Fancy in car phone ya talk through GG.",neutral
"_uk Yeah, but it`s Myst!",neutral
 you will be great! Have a wonderful first day,positive
just got home from the show opening.  fantastic. thanks to everyone who came out,positive
" I`m 3 days late, but happy birthday  Hahahaha",positive
Sad that the Statue of Liberty will completely reopen 2 weeks after our NYC trip.,negative
_fr Yes I saw the Village but the restaurant in the Village Square has a sign above it that reads 'Digestif.',neutral
395 votes for Hungary?What? But....but...the Nurburgring...  http://tinyurl.com/mtfye3,neutral
Addicted to Glee... watching the video over and over again....I should be out,negative
So tired   Last group of the day is performing now.. It`s been an interesting one.,positive
I have to go to work now.,neutral
at home with her fam  see you in CoMo tomorrow!,neutral
" I`m searching, too. We`ll compare notes.",neutral
Working.  I can`t wait till 4:30. Funeral on monday.,negative
OMG brings me back to my High School Days!  ? http://blip.fm/~5ygpg,neutral
_98 Kevin can`t leave work until 2,neutral
 hmmm they are on offer in Tesco as well but I don`t think the wee one next to me will stock them!,neutral
" Ah so 15 months. I`m sure he is advanced, and it`s not you being biased  they seem to grow up faster these days - now I sound old!",neutral
got back from the embassy; missing one paper  go again on Monday!!!good luck me!!!,positive
45Th st pub anyone tonight? Dont want to be a lonely drunk tonight,positive
I have to go to work with out my  and ,neutral
Chatting w/ Calyx.,neutral
its my burfday and i`m all alone,negative
" yeah i know hun, spammers seem to move fast though, already had two in first few minutes of posting.  Block `em",negative
"Come an add, new twitter.  Only for fans.",neutral
At pool in Orlando got new kicks  going to seaworld tommrow miss my best friend,negative
http://bit.ly/dIQF3 I hope some day my mom will get this message!,positive
 shweeeeet!,positive
 she said no not to nite  x,neutral
up odee early qot a call from some1 who I haven`t heard from in a very lonq time,neutral
"Eat Sleep Draw!: Part of my Neuroanatomy take-home test.  After this, Iï¿½m...: Part of my Neuro.. http://bit.ly/fXs3L",neutral
  you have my vote  want to see gino in drag. please post pictures.,neutral
My baby has his first busted lip.,negative
": Very interested. However, low carbs for the next month means no beer for me",positive
 Haha no. I just connected my phone to my wifi.,neutral
"Nothin better then ridin in a car with your sister while blasting TH, CB and Lady Gaga so loud you cant hear yourself screamin the lyrics",positive
 I`m on msn now,neutral
   Doh! I`m an inside job LOLzor.,neutral
 DANG i want to be on the beach late at night. that`s the best. the sound of waves and the breeze!!hope you are well!,positive
heading out to dinner in a minute - cant wait to have food.,positive
 i miss you too,negative
Has an hour left of revision,neutral
isnt going to the movies!! i got grounded,negative
Trying to save money for an iPod touch!,neutral
 That`s more than ok. Personally I`m very good in doing nothing,positive
"Its awsome... when you know, that you know, that you know!",positive
I Miss Daddy and Mommy,negative
 omg! shannon Happy Birthday!!!! I`m celebrating for you!,positive
 Anything for . So sorry man  I am not a patsy generally...,negative
  buy yay for your shoot...hope it goes well!  What is it for?,positive
" You saw that fraktastic zoidberg painting that was tweeted around last week or so, didn`t you?",neutral
"2,697 views on my FLickr Account.. Maybe is not much for you...  but I`m happy  ... YAY http://www.flickr.com/photos/bonassin/",positive
Wow. Shabu.  And now HIMYM! Really feels comforting,positive
 i could have got you some from work and not paid more than R20 per 2l,neutral
": Oh. The voting is over!  But don`t worry, I already voted for you about 100000000000000000000000000000000000 times earlier!!!",positive
 aww bless  you guys are so cute.. are you still in touch with any of the other BB contestants? xxoo,positive
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral
" yes i love manchester orchestra,and sigur ross. all the other bands ive never heard of but ill give them a listen. thanks",positive
Appreciation lunch at work. Good food! But sucks being here on my day off lol,neutral
 lmao - That would have taken me at least a week!,neutral
Office til around 6 today. Good day yesterday...I have a BSc now,positive
"a reply from  would  make my life, he replies usually to the people who call him ****, then he tells them he willblok them",negative
reeeejuvinated  and bored as hell.,neutral
wants to smoke a cig but doesn`t have a lighter.,neutral
 lol! y does ur tweet sound like ur voice yelling at me  lol!,neutral
Just at Starbucks with Farrah!,neutral
"_carter Gotta make the video public, dear. LOL ...can`t see it.",neutral
 WOW AND TO THINK SOME PEOPLE ACTUALLY REALLY DO LIVE IN THE JUNGLE BUT DONT GET TO GO BACK TO A HOTEL.,neutral
_galore aaaw too bad .. i`m in a good mood to phone with someone  lol,neutral
 are you daft  your now going to recieve a million friend invites on xbox now and one of them shall be me,neutral
"  Well I hope you have had a good weekend and even more so have a good day at work 2moro its already monday here,so far so good",positive
Happy Mother`s Day to the tweetin` mamas  Nite tweeple!,positive
 nooo!! not too busy for you! EVER! SRSLY!  you are my pal! I`m not yet familiar with iphone twitter,positive
I wanna see my mama but she hasn`t called me back yet  MAMA...MAMA!!!,negative
" totally agree, but she always seems to be henpecking John, even before the cheating thing",neutral
I think the rain killed my phone,negative
",  - muji  yipee. is anybody coming here? i can send them over hahaha. but can somebody bring JT`s BSG disks? haha",neutral
 voting is over. since like four days ago i think  i told all my friends 2 vote for you a million times. you will win! love you,positive
" Where`s yummiest Pan Mee? For me it`s behind Dance Center, Ipoh Garden South. and i miss it",negative
" Unfortunately, that`s how it usually goes.  In answer to yesterday...I`m okay. Things may be looking up. Miss talking to you.",negative
hmmmm.... i wonder how she my number @-),neutral
_Online When will the maintanance end? I would like to backup some stuff.,neutral
"Okay, whats up with twitter,, :/ my laptop is completely broke, and now my computer is acting up   so I dont reckon I will be on for t ...",negative
already crying and the movie only started like 15mins ago,negative
"Work day 7 of 7,",neutral
Good night everyone...... Time to go mimmiz......,positive
"had a kickass day full of Seaworld, retarded 15 year old guys, and X-Men Origins. Win day?",positive
Sooo.....I`m kind of sick n tired of the bs that guys dish out  !!!!!!!!,negative
missing my bffls! missing my friday night dates!  hot dogs for dinner then who knows what the evening holds!,negative
 what a riot..now you can tell you`re friends you`ve got chlamydia..but you`re hoping to get pox-syphilis soon,negative
  He`s awesome... Have you worked with him before? He`s a good friend.,positive
Have a headache  I`m going to bed. Goodnight!,negative
My heart has been beating irregularly ever since last night. I don`t want to explode or implode,neutral
 A big ginger and white male cat and a little female tortoiseshell. Both indoor cats and rule the house,neutral
" i chewed up a Starbucks and a Subway gift card at Christmas time, I got in big trouble. I not allowed near purse.",negative
Got moommy somn special for mothers day,positive
Just got back from  `s party! Sooo much fun! Boom boom pow~ hahaha! ooh and I just told my mom happy mother`s day,positive
don`t want to go to work tonight,negative
 yeah dnt go there.. I have 3 dif apps on my phone for it  so sad but there is a reason as to why lol,neutral
" OMG! Taylors in London! Your near Scotland, please come visit Glasgow",positive
 then he has gone down in my estimation,neutral
Just finnished my Double Cheeseburger. It was good  Ready to watch the Spanish F1,positive
My birthday is a week from today!,neutral
Im cleaning out my closet!  ahhh...,neutral
" Kayyy XD Yeah, everyone always talks about the part where the dog dies  I need to find a movie that you haven`t seen now XD",neutral
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative
 did you run into someone I know this weekend?,neutral
Fighting with Nagios configuration.  Great tool but the config is a bit of a labour,positive
http://twitpic.com/4jj43 - Me and Ari,neutral
" Well aren`t you just the kindest people in the world  Unfortunately, I have no such enquiries!",neutral
i should have run today  but i let my slight aches be a bad excuse    i`ll make it up tomorrow go 5.5,negative
"Enough already about Wolfram Alpha: The Next Google, Or the Next Cuil? http://bit.ly/6HESZ",neutral
today has not started out very well,negative
" MISS YOU, TOO!",negative
posting my first tweet!!,neutral
" possibly! NyQuil will get me through tonight though  Doctors Monday! (I hope for the swine, just so I can be on google maps)..jk",positive
 that frenchfry-corndog looks so delish! I WANT!!  Welcome back to Seattle!,positive
 Yep still a few seats left for PRACC workshop w/  &  http://bit.ly/txpA6  see you there,neutral
 oh the noon? I don`t know if I can make that one...I only get 30 min for lunch,negative
_  me too!,neutral
Get into me not going. lol at least I didnt get my hopes up,negative
Tonight was fun. Love my girl Tanna!,positive
 more coffee,neutral
This is the earliest I`ve been up for ages! Body is crying to go back to sleep... Must resist! A shower should do the trick,neutral
Oh snap... kinda nuts right now... :  I`ve told at least 27  Thanks babes.,positive
 haha i love both of them too  hmm.. lol i`m in need of some good bands too,positive
 I tried that but I can only use import/export for contacts saved locally on my Outlook. Thanks Though,positive
"_13 Awe, THX so much! Neither of need 2b sick on Friday!!  Do u have any prayer requests?",positive
 yes but they hate it when we do it...silly boys,negative
_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.,neutral
i wanna leave work already! Not feelin it 2day,negative
The sun has gone in!,neutral
"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee..",neutral
omg maddie in holby is dead. Gutted. loved Nadine lewington and really wanted Maddie and Clifford to get together,negative
 ok i got you! Knight!,neutral
elliott claims steak and shake has been doing this for months...not exciting anymore...,negative
"nyc placements have started to come out, but it looks like upgrades might have to wait yet another two weeks for placements! dreadfully",negative
" Say cheese for the camera, or throw up some Western Mass gang signs to be cool",positive
I am new here,neutral
"FML, i cant loose another friend",negative
"_Libertine um, glad you enjoyed it...",positive
  i just saw your performance on the ellen show. we`re so behind in australia  you were AMAZING and have such a wonderful voice!,positive
" I know   It was worth a shot, though!",positive
Wat a nice day it was 2day!me and rachel decided to walk to work and walk back lol..was so warm inside tho,positive
got an email from my auntie bout fathers day... mothers day w/seven moms but fathers day will consist of 2 dads    #realitycheck,neutral
not super keen on the drive home through the rain.. additional concentration required that i don`t really wanna deal with,neutral
please?,positive
i love me some americana- but no movies to see,neutral
"Wanna know a not fun way to wake up? Having a panic attack and not being able to breath for no **** reason, that **** sucked",negative
 Are we going to be able to buy more than 1 ticket online through livenation tomorrow? cant make it to LA,neutral
 I can`t believe this! Did they give you any reason?,neutral
 Going to see Star Trek,neutral
_2008 thanks  there`s a men`s version in June. It`s very popular.,neutral
 I always feel guilty about it,negative
It`s a really warm day in Seattle! My reeses chocolate is melting!!!,positive
I am parked in FS yet no ticket.,neutral
Morning Tweethearts! Now home after traveling 302 mi.thru 2 states & 2 faires in 3 days. So inspired! Ready to write as I enjoy coffee.,positive
Off to England during the summer holidays this year.... yay!,positive
Today was sooo boring in school. I was sleeping all the time,negative
 No tango icons in this revision.,neutral
" aww  i hope u find it soon i miss it. i cnt even use my cam w/o it, memory`s full. plus i wanna take it 2 SA this commin weekend.",positive
"Ordering pizzas, watching Diggnation, trying out Tweetdeck. All is good",positive
"  i leave the 27th, back the 5th or 6th.",neutral
 So you wouldn`t reply to my gorgeous hot pink shoe then?,positive
 Love the unique accordion thief buffs - thank you!,positive
 I`ve heard this fall. I`m waiting too!,neutral
 no turkey leg? i can`t believe it!,negative
 Most of my friends wanted to try it yesterday but failed because of the whole .Net thingy...it worked fine with me,neutral
why does  never reply to mee  he must really hate me :l,negative
 Aww...thanks! He`s the best husband ever. He really is. I`m so lucky!  Hope you`re having a wonderful Saturday evening!,positive
" it is very cheeky one, but nice too",neutral
 I have been to Tara Thai a few times for friend`s birthdays and the food I had was pretty bad.,negative
  just listened to the songs on your myspace.  really good,positive
" Cool! I have one (from a decluttering friend), but I don`t know how to play",neutral
Preston stayed home and I don`t know why,neutral
why does my life suck?,negative
waitin for some Fall out boy,neutral
 Anyone with big fingers  But I`ve loved it...,positive
 You gave me the inspiration for my last update.,positive
Today is 777 days until LeakyCon 2011. Awesome number but I wish it wasn`t so far away,positive
" ah its getting there  still a fair bit to go, but it`s coming together fairly well! aw  where are you from?",positive
 Have a great time in London,positive
just listened to Domination by Pantera on Grooveshark: http://tinysong.com/36pz,neutral
 You`re cycling tho` that`s good. Healthy eating  Healthy and eating are a contradiction in terms.,positive
" This early in the morning, they probably won`t even need much make-up",neutral
everyone follow  and  ! they are amazing,positive
It is so annoying when she starts typing on her computer in the middle of the night!,negative
"Celebrated 18,000 plays on Last.fm with Dez Moines by #tdwp http://bit.ly/GWUHX",positive
but i did have a really nice smoothy at baulko shops,positive
 oh that sucks  Tell your DH to act like a grown up maybe? I`d be stressed too,negative
I`m really full and I feel sick,negative
_cook you make me sad. Why do I like in canada? I can never watch these things. I should move. Know anyone who needs a roommate?,negative
Watching Miley Cyrus on youtube!,neutral
 I googled 'engagement rings' & this is the EXACT ring i want.it was the 1st result too  *sigh* love it.http://twurl.nl/jaq5j4,positive
"Just finished work nd now waiting in the freezing cold drinking a mango magic, haha FAIL T.T mama, wheree are yu ? I`m cold",negative
 trouble is i don`t think any of this is helping my wrists.,negative
"Signing off folk, might be back on later!",neutral
" oh! Yeah,your mom told be about that.  I thought you meant his twitter ID & I was very confused. That sucks. Sick.",negative
" Vancouver, so classy.  #canucks",positive
The Star Trek movie was amazing! omg everyone has to go see it,positive
Sadness  The top horde guild that I liked disbanded.,negative
_Atticus Thank you,positive
"Power Outage, door to freezer propped open, 3G ice cream make for slippy floor  M-er F-er!!",negative
" try again, minna  i edited quickly, sorry!",negative
My paycheck was nothing but a piece of paper.,neutral
playing board games!!!,neutral
 it is sooo hard.... truck and fish please,negative
 How are you today!?,neutral
" why would u get in trouble with me, i did not follow the logic sorry",negative
 OR... Something to do with all the Red Bull?  Hmmm. You think maybe?,neutral
"had an answered prayer which caught me by surprise. LORD, you are amazing!",positive
" haha!  yes, there`s a lot to be said for nekkid religion",neutral
  Thx 4 sharing!,positive
_dazzles Well tonight would be a good time to watch.,positive
"#freeagentapp free trial ran out today, cannot subscribe because Abby accidentally canceled my card - still waiting for a new one",negative
Grounds himself from getting more toys...only cause I have officially ran out of room to place them,neutral
is sad that today is her last day in san diego,negative
 yeahh! Ryland was amazing xD BUT I DIDN`T GET A HUG OFF HIM booo  Suarez seemed a bit off tbh..but I think he`d just woken up,positive
I`m supposed to be Ms. Twitterology,neutral
 HaPPy B-DAY Ma Freaaaaaaak  <3,positive
Just got back from the karaoke bar in the metreon!!! Watching millionaire matchmaker,neutral
thinks lamb chops would be really nice right about now... or maybe some sushi  mmm.. maybe just an ice lolly cos its so **** hot!!!,neutral
Two words: hot pockets. Most delcious food ever created,positive
is getting ready for bed. Happy Mother`s Day to all the mothers out there!,positive
I Wish i was still in Cornwall - i miss my auntie`s dogs,negative
" The Hulk, great movie  You might recognize Toronto`s Younge Street in some of the fight scenes.",positive
  I wish I knew..  Trying to figure something out here too,positive
" Amazing! The concert, the city, everything. It was really an awesome trip",positive
Need to buy a bluetooth device for machine,neutral
_truong ahhh~~ is hb done or.. cause we are still hoping for an encore of SNSD  lol!!!,neutral
morning  football today! thinking of learning some Applescript,neutral
" - I`m really thinking about staying till tomorrow .. I have to be back in Philly 2nite, but I wanna stay so bad.",negative
"But anywho, I just got in and out of the pool within like 30 minutes because it`s about to start storming",positive
meeting  and friend tonight - going to discuss human trafficking issues. Daly is chaplain/therapist and an interesting guy,positive
Love my mommy happy mothers day,positive
 YAY! I can`t wait to read it.,positive
omg! i didnt even know my friend knew  !!! lol its a small world,neutral
im cleaning listening to fiona apple then off to a birthday party!!!!!! i cant believe that im 25 already,neutral
 at home  im so lonely here...,negative
 My Photoshop won`t let me save anything  Due to a disk error. The blend took me 1.5 hours!,negative
Had to eat my sandwhich since guys were in a meeting. No sushi to brag about.,neutral
I saw a squirrel get hit by a car while walking to bart this morning...wondering if there was anything I could have done.,neutral
SUPER BUENO FTW!!! I am so proud of you guys.,positive
" I wasn`t  I was with the bf at the time, and am now omw to class. What is this new Kaggra,?",neutral
Ah wokking was great. You could eat as much ice cream as you what. I never eat so much ice cream in my life...,neutral
 if its too hard go to ur guy peicing person and he shoud change it cause mine be hard to change to,negative
 Nothing wrong with that samantha,positive
 l`m on 3 days too matt. No fun this weekend.,negative
he keeps makingfun of my typos!,neutral
"i want a dog or a cat or something  i want something to unconditonally love, thats not materialistic or a family memeber",positive
Working on a PR plan. Then it is on to awards.,neutral
iono...I guess I`m getting off now. L8r twits,neutral
" Ashlie, thank you.  You made me feel a little better.",positive
watching Bones with Naty. Have made her a fan! Mission convert Naty: Success...now onto Mission convert Meagan,positive
 Yay!  SNL is on!,positive
wow what a lovely day! Shame i have to clean my room,neutral
_hope why?,neutral
" Not sure if this is good or bad news for you, but you are listed as staff: http://www.thesixthaxis.com/staff/",neutral
now cassidy is butcking that i am **** lol cant ever win,neutral
Been invited to join a group in Second Life called 'Ballistic Autistics'.  Cute name.,positive
"http://twitpic.com/4jkea -  now has 10,000 followers! Congrats!",positive
"Is playing bubblewrap on her iPhone. Over and over and over again. Still, beats working...",neutral
 You have the best hair ever. Totally jealous. Mine`s unfixable if I forget and leave sunglasses stuck in it too long,neutral
 Here`s getting cold.. And I got my coffee break 2 minutes ago. Enjoy your drink,positive
" If y`all say so, I trust you on that one",neutral
"okay, i`m out for a while  back later!",neutral
" haha hi mum! wow yes, very modern of you. now you just need to get a facebook account! p.s. talk to me by writing ",positive
Very bad things.......I need to stop thinking!,negative
Awwww poor biggie...he puked on me in the car. Even though I had the air conditioning on FULL blast...I think it was the heat  He` ok now,neutral
 haha i love surprises! i don`t work til sunday tho so i have to wait.,positive
I`m going to; eat-homework-tv-I don`t know yet...,neutral
 its looking like the magic,neutral
 not so good,negative
"very much disappointed with the angels and demons movie  shame, it was a great book",neutral
 Keep trying...taking texts all week long...,neutral
